Row Labels,BA,FSQ,HdG,Grand Total
6473,1,,,1
7036,1,1,,2
15478,1,,,1
17050,1,1,,2
17302,1,,1,2
17314,23,7,6,36
17321,17,2,4,23
17322,1,1,,2
17331,,1,,1
17349,4,3,1,8
17352,5,2,2,9
17356,5,1,1,7
17360,2,2,,4
17361,4,1,,5
17362,,1,,1
17363,5,3,1,9
17366,1,1,,2
17402,2,,,2
17403,3,2,1,6
17565,1,1,,2
17566,2,,1,3
18062,1,1,,2
19352,1,,,1
19362,3,,3,6
19363,2,,3,5
19403,1,,1,2
19701,1,,2,3
19930,1,,,1
19933,1,,1,2
19958,,1,,1
19970,1,,,1
19971,1,,,1
19977,1,1,,2
20190,1,,,1
20723,1,,,1
20774,1,,,1
20814,1,,,1
21001,223,37,224,484
21005,6,2,1,9
21009,244,82,71,397
21012,1,1,,2
21013,11,5,1,17
21014,493,134,107,734
21015,330,90,75,495
21017,51,9,25,85
21027,2,2,,4
21028,44,6,31,81
21030,10,18,2,30
21034,41,10,36,87
21040,126,47,46,219
21047,140,46,37,223
21050,226,64,42,332
21051,2,2,,4
21052,,4,,4
21053,4,2,1,7
21057,11,13,1,25
21061,,1,,1
21074,1,1,,2
21076,,1,,1
21078,202,34,307,543
21082,2,,,2
21084,72,22,17,111
21085,137,71,39,247
21087,52,34,12,98
21090,1,1,,2
21093,35,56,2,93
21102,1,,,1
21104,,1,,1
21108,,2,1,3
21111,7,2,,9
21117,1,2,,3
21120,4,4,,8
21122,,1,,1
21128,50,66,4,120
21131,4,6,1,11
21132,20,10,6,36
21133,1,2,,3
21136,3,5,1,9
21152,1,1,,2
21154,71,20,29,120
21156,1,,1,2
21157,1,3,,4
21160,37,9,8,54
21161,18,4,4,26
21162,14,32,2,48
21204,4,3,1,8
21205,,4,,4
21206,9,34,1,44
21207,2,2,,4
21208,1,2,,3
21209,2,3,,5
21210,,3,,3
21212,4,8,,12
21213,1,1,,2
21214,2,5,,7
21215,,2,,2
21216,1,2,,3
21218,2,2,,4
21219,11,31,,42
21220,66,166,12,244
21221,77,171,6,254
21222,55,143,3,201
21224,12,28,4,44
21227,1,1,,2
21228,4,2,1,7
21230,1,3,,4
21231,1,3,,4
21234,50,92,3,145
21236,50,112,7,169
21237,46,119,1,166
21239,1,2,,3
21244,1,4,,5
21286,8,16,,24
21620,1,1,1,3
21784,2,1,,3
21901,28,2,32,62
21903,46,7,57,110
21904,50,10,68,128
21911,50,5,65,120
21914,2,1,3,6
21917,22,3,34,59
21918,29,4,27,60
21919,1,,1,2
21921,5,1,9,15
23188,1,1,,2
25419,1,,,1
30043,1,,,1
33408,1,1,1,3
34110,1,1,,2
34986,,1,,1
78613,,1,,1
80129,1,1,,2
